Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-03-03,21:00,22.77,48.15,27.00,,,,,,2.00,3.00,,,,,,,,
2020-03-03,21:15,,,,,,,,,,,,,,,,,,
2020-03-03,21:30,22.70,47.21,211.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,21:45,22.75,46.37,26.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,22:00,23.12,43.81,32.00,,,,,,1.00,2.00,,,,,,,,
2020-03-03,22:15,23.04,45.34,499.00,,,,,,1.00,1.00,,,,,,,,
2020-03-03,22:30,23.00,45.88,309.00,,,,,,1.00,2.00,,,,,,,,
2020-03-03,22:45,22.99,45.97,318.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,23:00,22.92,46.85,383.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,23:15,22.85,47.47,308.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,23:30,22.82,47.72,287.00,,,,,,2.00,2.00,,,,,,,,
2020-03-03,23:45,22.76,47.79,329.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,00:00,22.84,47.73,490.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,00:15,22.89,46.54,261.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,00:30,22.96,48.40,341.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,00:45,23.07,50.95,363.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,01:00,23.06,51.73,429.00,,,,,,2.00,3.00,,,,,,,,
2020-03-04,01:15,23.06,51.97,358.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,01:30,23.04,52.75,342.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,01:45,22.97,52.42,246.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,02:00,23.04,52.48,255.00,,,,,,2.00,3.00,,,,,,,,
2020-03-04,02:15,23.04,52.59,507.00,,,,,,1.00,4.00,,,,,,,,
2020-03-04,02:30,23.00,52.52,389.00,,,,,,2.00,4.00,,,,,,,,
2020-03-04,02:45,22.98,52.29,377.00,,,,,,2.00,4.00,,,,,,,,
2020-03-04,03:00,23.00,52.09,25.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,03:15,22.99,52.26,26.00,,,,,,2.00,2.00,,,,,,,,
2020-03-04,03:30,22.98,52.05,383.00,,,,,,0.00,3.00,,,,,,,,
2020-03-04,03:45,22.90,51.74,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-04,04:00,22.81,51.28,30.00,,,,,,0.00,0.00,,,,,,,,
2020-03-04,04:15,22.76,50.74,23.00,,,,,,0.00,0.00,,,,,,,,
2020-03-04,04:30,22.73,50.50,26.00,,,,,,0.00,0.00,,,,,,,,
2020-03-04,04:45,22.69,49.98,24.00,,,,,,0.00,0.00,,,,,,,,
2020-03-04,05:00,,,,,,,,,,,,,,,,,,
2020-03-04,05:15,22.57,49.66,23.00,,,,,,0.00,0.00,,,,,,,,
